capacity_taxonomy_result_id,scenario_id,fiscal_year,operating_fcf,post_dividend_internal_generation,opening_excess_liquidity,gross_debt_proceeds,gross_debt_repayments,net_mandatory_debt_service,self_funded_capacity_generated,debt_funded_incremental_capacity,total_gross_funding_capacity,share_repurchases,strategic_investment,voluntary_debt_reduction,other_discretionary_uses,total_discretionary_deployment,forward_debt_repayment_reserve,forward_reserve_is_proxied,remaining_deployable_headroom,ending_excess_liquidity,mandatory_debt_uses,self_funded_gross_capacity,version,information_cutoff
captax_base_2026_v2,base,2026,3250.8845595879984,1167.294859587998,2313.1659999999997,700.0,700.0,0.0,1167.294859587998,0.0,3480.4608595879977,466.9179438351992,0.0,0.0,0.0,466.9179438351992,0.0,0,3013.5429157527983,3013.5429157527983,0.0,3480.4608595879977,v2,2026-03-11
captax_base_2027_v2,base,2027,3435.977827859057,1321.3426413290567,2981.794575752798,700.0,700.0,0.0,1321.3426413290567,0.0,4303.137217081855,528.5370565316226,0.0,0.0,0.0,528.5370565316226,0.0,0,3774.6001605502324,3774.600160550232,0.0,4303.137217081855,v2,2026-03-11
captax_base_2028_v2,base,2028,3556.737318648552,1410.5940678392549,3742.534337150232,700.0,700.0,0.0,1410.5940678392549,0.0,5153.1284049894875,564.2376271357019,0.0,0.0,0.0,564.2376271357019,0.0,0,4588.890777853786,4588.890777853785,0.0,5153.1284049894875,v2,2026-03-11
captax_base_2029_v2,base,2029,3678.888196453455,1500.767411207099,4556.504296219785,700.0,700.0,0.0,1500.767411207099,0.0,6057.271707426884,600.3069644828396,0.0,0.0,0.0,600.3069644828396,0.0,0,5456.964742944045,5456.964742944045,0.0,6057.271707426884,v2,2026-03-11
captax_base_2030_v2,base,2030,3801.3401055747736,1590.765320628247,5424.254396493705,700.0,700.0,0.0,1590.765320628247,0.0,7015.0197171219515,636.3061282512988,0.0,0.0,0.0,636.3061282512988,0.0,1,6378.7135888706525,6378.7135888706525,0.0,7015.0197171219515,v2,2026-03-11
captax_downside_2026_v2,downside,2026,1878.9703409499998,-174.0296590500002,2423.185,500.0,300.0,0.0,-174.0296590500002,200.0,2449.1553409499998,0.0,0.0,0.0,0.0,0.0,0.0,0,2449.1553409499998,2449.1553409499998,0.0,2249.1553409499998,v2,2026-03-11
captax_downside_2027_v2,downside,2027,3465.4399128956284,1412.4399128956284,2525.7757159499997,500.0,300.0,0.0,1412.4399128956284,200.0,4138.215628845628,0.0,0.0,0.0,0.0,0.0,0.0,0,4138.215628845628,4138.215628845628,0.0,3938.215628845628,v2,2026-03-11
captax_downside_2028_v2,downside,2028,2984.2303760051072,931.2303760051072,4212.920494470628,500.0,300.0,0.0,931.2303760051072,200.0,5344.150870475735,0.0,0.0,0.0,0.0,0.0,0.0,0,5344.150870475735,5344.150870475735,0.0,5144.150870475735,v2,2026-03-11
captax_downside_2029_v2,downside,2029,2522.8750379972585,469.87503799725846,5416.988114460111,500.0,300.0,0.0,469.87503799725846,200.0,6086.86315245737,0.0,0.0,0.0,0.0,0.0,0.0,0,6086.86315245737,6086.86315245737,0.0,5886.86315245737,v2,2026-03-11
captax_downside_2030_v2,downside,2030,2082.6428409632863,29.64284096328629,6157.879465342135,500.0,300.0,0.0,29.64284096328629,200.0,6387.522306305421,0.0,0.0,0.0,0.0,0.0,0.0,1,6387.522306305421,6387.522306305421,0.0,6187.522306305421,v2,2026-03-11
captax_upside_2026_v2,upside,2026,4191.6212558800025,2088.5280558800023,2250.298,300.0,1000.0,700.0,1388.5280558800023,0.0,3638.826055880002,1148.6904307340012,0.0,0.0,0.0,1148.6904307340012,700.0,0,1790.135625146001,2490.135625146001,700.0,3638.826055880002,v2,2026-03-11
captax_upside_2027_v2,upside,2027,3302.2013079029975,1147.7926338229977,2393.004565146001,300.0,1000.0,700.0,447.7926338229977,0.0,2840.7971989689986,631.2859486026487,0.0,0.0,0.0,631.2859486026487,700.0,0,1509.51125036635,2209.51125036635,700.0,2840.7971989689986,v2,2026-03-11
captax_upside_2028_v2,upside,2028,3852.3796898913206,1645.4034441637687,2109.46625856635,300.0,1000.0,700.0,945.4034441637687,0.0,3054.8697027301187,904.9718942900728,0.0,0.0,0.0,904.9718942900728,700.0,0,1449.897808440046,2149.897808440046,700.0,3054.8697027301187,v2,2026-03-11
captax_upside_2029_v2,upside,2029,4431.46359210498,2170.637125981676,2046.8514668860457,300.0,1000.0,700.0,1470.637125981676,0.0,3517.4885928677218,1193.8504192899218,0.0,0.0,0.0,1193.8504192899218,700.0,0,1623.6381735778,2323.6381735778,700.0,3517.4885928677218,v2,2026-03-11
captax_upside_2030_v2,upside,2030,5040.433166973778,2724.4425350770643,2217.5004417771797,300.0,1000.0,700.0,2024.4425350770643,0.0,4241.942976854244,1498.4433942923854,0.0,0.0,0.0,1498.4433942923854,700.0,1,2043.499582561859,2743.499582561859,700.0,4241.942976854244,v2,2026-03-11
