metric,fiscal_year,as_originally_filed,latest_restated,difference,pct_difference,reclassified
revenue,2021,106005.0,106005.0,0.0,0.0,False
revenue,2022,109120.0,109120.0,0.0,0.0,False
revenue,2023,107412.0,107412.0,0.0,0.0,False
revenue,2024,106566.0,106566.0,0.0,0.0,False
revenue,2025,104780.0,104780.0,0.0,0.0,False
cost_of_sales,2021,74963.0,74963.0,0.0,0.0,False
cost_of_sales,2022,82229.0,82306.0,77.0,0.0009364092959904657,True
cost_of_sales,2023,77736.0,77828.0,92.0,0.0011834928475867037,True
cost_of_sales,2024,76502.0,76502.0,0.0,0.0,False
cost_of_sales,2025,75511.0,75511.0,0.0,0.0,False
gross_profit,2021,31042.0,31042.0,0.0,0.0,False
gross_profit,2022,26891.0,26814.0,-77.0,-0.002863411550332825,True
gross_profit,2023,29676.0,29584.0,-92.0,-0.0031001482679606416,True
gross_profit,2024,30064.0,30064.0,0.0,0.0,False
gross_profit,2025,29269.0,29269.0,0.0,0.0,False
operating_expenses,2021,19752.0,19752.0,0.0,0.0,False
operating_expenses,2022,20658.0,20581.0,-77.0,-0.003727369542066028,True
operating_expenses,2023,21554.0,21462.0,-92.0,-0.0042683492623178994,True
operating_expenses,2024,21969.0,21969.0,0.0,0.0,False
operating_expenses,2025,21535.0,21535.0,0.0,0.0,False
