valuation_ufcf_fact_id,scenario_id,fiscal_year,ufcf,pv_ufcf,discount_period,information_cutoff
vufcf_base_2026_v1,base,2026,3522.899033587998,3236.1213983458088,1,2026-03-11
vufcf_base_2027_v1,base,2027,3707.9923018590575,3128.873760919631,2,2026-03-11
vufcf_base_2028_v1,base,2028,3828.7517926485516,2967.775458999656,3,2026-03-11
vufcf_base_2029_v1,base,2029,3950.9026704534554,2813.1621523420304,4,2026-03-11
vufcf_base_2030_v1,base,2030,4073.354579574773,2664.251751398545,5,2026-03-11
vufcf_downside_2026_v1,downside,2026,2195.48808095,2016.766841977675,1,2026-03-11
vufcf_downside_2027_v1,downside,2027,3787.1936528956285,3195.7053530357925,2,2026-03-11
vufcf_downside_2028_v1,downside,2028,3311.2201160051072,2566.6217952530483,3,2026-03-11
vufcf_downside_2029_v1,downside,2029,2855.1007779972583,2032.9180746085894,4,2026-03-11
vufcf_downside_2030_v1,downside,2030,2420.104580963286,1582.9134789125512,5,2026-03-11
vufcf_upside_2026_v1,upside,2026,4431.671900880003,4070.9166320554987,1,2026-03-11
vufcf_upside_2027_v1,upside,2027,3526.316452902999,2975.5722568937426,2,2026-03-11
vufcf_upside_2028_v1,upside,2028,4060.5593348913208,3147.456141461243,3,2026-03-11
vufcf_upside_2029_v1,upside,2029,4623.707737104981,3292.2197012820548,4,2026-03-11
vufcf_upside_2030_v1,upside,2030,5216.741811973779,3412.10499543501,5,2026-03-11
